room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
19358192,1471,17255019,Entire home/apt,,Berlin,,Pankow,0,0.0,5,3.0,,91.0,,Huge sunny Family (!) flat in Berlin-Buch,2017-07-25 00:56:58.144242,52.638543,13.491174,0101000020E6100000804A95287BFB2A407C0BEBC6BB514A40
13812209,1471,20998252,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,58,4.5,6,1.0,,84.0,,Central Spacious Design Apartment,2017-07-25 00:56:58.137739,52.497663,13.465048,0101000020E6100000F2237EC51AEE2A40F2B6D26BB33F4A40
9124340,1471,9063905,Entire home/apt,,Berlin,,Pankow,8,4.5,2,1.0,,91.0,,supergemütliche 2 Zimmerwohnung,2017-07-25 00:56:58.135333,52.532842,13.436113,0101000020E61000008DB800344ADF2A40B6F7A92A34444A40
16235841,1471,106095044,Entire home/apt,,Berlin,,Pankow,6,5.0,4,2.0,,96.0,,Charming 3-Room Maisonette,2017-07-25 00:56:58.132956,52.541813,13.420031,0101000020E6100000C39CA04D0ED72A4019C6DD205A454A40
12802076,1471,47172283,Entire home/apt,,Berlin,,Pankow,3,4.5,5,2.0,,96.0,,"NICE BERLIN HOME large, urban but with garden",2017-07-25 00:56:55.935240,52.544499,13.425995,0101000020E6100000E08442041CDA2A4034DAAA24B2454A40
12319085,1471,5403913,Entire home/apt,,Berlin,,Mitte,3,5.0,3,1.0,,102.0,,Sunny and Design in Berlin Mitte,2017-07-25 00:56:55.933276,52.533332,13.393305,0101000020E6100000E1B4E0455FC92A4084F4143944444A40
3474302,1471,17500296,Entire home/apt,,Berlin,,Lichtenberg,19,5.0,2,0.0,,96.0,,Modernes Ferienhaus in Berlin,2017-07-25 00:56:55.930247,52.493086,13.529405,0101000020E610000082AD122C0E0F2B40C70E2A711D3F4A40
17342987,1471,4608065,Entire home/apt,,Berlin,,Pankow,9,5.0,3,1.0,,84.0,,60m2 of warmth and cozyness in the Lake District,2017-07-25 00:56:55.917649,52.553675,13.474074,0101000020E61000008FC4CBD3B9F22A4070CE88D2DE464A40
16050152,1471,6099328,Entire home/apt,,Berlin,,Mitte,12,4.5,2,0.0,,96.0,,Appartement 7 - Brewer's retreat,2017-07-25 00:56:55.906027,52.531085,13.395709,0101000020E61000003A77BB5E9ACA2A40B532E197FA434A40
582053,1471,2865743,Entire home/apt,,Berlin,,Pankow,22,5.0,2,1.0,,91.0,,Beautiful Flat in Prenzlauer Berg,2017-07-25 00:56:55.898311,52.537613,13.423474,0101000020E6100000A1698995D1D82A40C573B680D0444A40
16415384,1471,39586119,Entire home/apt,,Berlin,,Neukölln,28,5.0,2,1.0,,91.0,,Central. Beautiful flat.,2017-07-25 00:56:54.038632,52.484948,13.433568,0101000020E61000002B2FF99FFCDD2A405C21ACC6123E4A40
11306475,1471,58989886,Entire home/apt,,Berlin,,Pankow,35,4.5,4,1.0,,96.0,,Garden apartment in Prenzlauer Berg,2017-07-25 00:56:54.023034,52.537732,13.406415,0101000020E61000002B357BA015D02A409F01F566D4444A40
19005722,1471,132603670,Entire home/apt,,Berlin,,Pankow,0,0.0,2,1.0,,84.0,,Be Berlin,2017-07-25 00:56:54.016711,52.536405,13.43492,0101000020E6100000ADC090D5ADDE2A40983446EBA8444A40
11299622,1471,10830211,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,39,4.5,4,0.0,,91.0,,Newly renovated boutique Studio,2017-07-25 00:56:52.124056,52.519395,13.463671,0101000020E61000000D350A4966ED2A405C5A0D897B424A40
11406439,1471,22829006,Entire home/apt,,Berlin,,Mitte,7,5.0,2,0.0,,93.0,,Parkview Capri am Weinbergspark,2017-07-25 00:56:52.097919,52.534262,13.401832,0101000020E6100000F9F884ECBCCD2A406EBF7CB262444A40
5556158,1471,9807430,Entire home/apt,,Berlin,,Pankow,83,5.0,2,1.0,,95.0,,In the heart of Berlin,2017-07-25 00:56:50.526071,52.539785,13.407888,0101000020E610000098DC28B2D6D02A4089EFC4AC17454A40
18985519,1471,132440598,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,8,4.5,4,1.0,,84.0,,"Kreuzberg, tolle Lage und Erdgeschoss Wohnung",2017-07-25 00:56:45.747746,52.507274,13.406342,0101000020E610000083FB010F0CD02A40390EBC5AEE404A40
16042715,1471,4030995,Entire home/apt,,Berlin,,Charlottenburg-Wilmersdorf,3,5.0,2,0.0,,96.0,,Loft in the city center west,2017-07-25 00:56:45.744885,52.48792,13.319347,0101000020E6100000C426327381A32A403C889D29743E4A40
18921510,1471,1119626,Entire home/apt,,Berlin,,Pankow,0,0.0,2,1.0,,102.0,,Luxuriöse Wohnung am Wasserturm,2017-07-25 00:56:45.740460,52.53243,13.416898,0101000020E61000001E8997A773D52A4063B48EAA26444A40
12459266,1471,67209035,Entire home/apt,,Berlin,,Mitte,47,4.5,7,3.0,,96.0,,Best Location in Berlin Mitte!!!,2017-07-25 00:56:45.734318,52.526306,13.392141,0101000020E61000006BD784B4C6C82A4023D8B8FE5D434A40
17741498,1471,45569143,Entire home/apt,,Berlin,,Mitte,18,4.5,3,2.0,,102.0,,"Exklusiv, ruhig und hell wohnen in Berlin-Mitte",2017-07-25 00:56:45.731602,52.50856,13.404018,0101000020E61000009CFD8172DBCE2A40E2067C7E18414A40
18662353,1471,16472366,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,1,0.0,4,1.0,,95.0,,Modern apartment in the center of Berlin,2017-07-25 00:56:45.726994,52.520778,13.433085,0101000020E6100000BDC62E51BDDD2A40F73C7FDAA8424A40
15783667,1471,8952034,Entire home/apt,,Berlin,,Neukölln,1,0.0,2,1.0,,87.0,,Sunny Berlin Home,2017-07-25 00:56:45.724358,52.493082,13.426754,0101000020E6100000D7DF12807FDA2A40861F9C4F1D3F4A40
