denominator,participant_id,arrangement,iconicity,probability,decision,decisionTime
10,7,Random,house,50,evacuate,1256
10,7,Random,house,80,evacuate,1040
10,7,Random,house,70,evacuate,1040
100,7,Random,house,90,evacuate,1637
100,7,Random,house,20,stay,1276
10,7,Random,house,60,evacuate,1304
10,7,Random,house,10,stay,1159
10,7,Random,house,40,stay,1112
100,7,Random,house,10,stay,1349
100,7,Random,house,70,evacuate,900
100,7,Random,house,80,evacuate,901
100,7,Random,house,50,evacuate,885
10,8,NA,naturalFrequency,40,stay,3592
10,8,NA,naturalFrequency,50,stay,1666
10,8,NA,naturalFrequency,70,evacuate,1182
100,8,NA,naturalFrequency,90,evacuate,2348
100,8,NA,naturalFrequency,80,evacuate,1314
100,8,NA,naturalFrequency,60,evacuate,1098
10,8,NA,naturalFrequency,20,stay,1465
10,8,NA,naturalFrequency,90,evacuate,1214
100,8,NA,naturalFrequency,20,stay,1449
100,8,NA,naturalFrequency,30,stay,1082
10,8,NA,naturalFrequency,10,stay,1830
100,8,NA,naturalFrequency,70,evacuate,1616
10,8,NA,naturalFrequency,30,stay,1164
100,8,NA,naturalFrequency,50,evacuate,1932
10,8,NA,naturalFrequency,60,evacuate,1446
100,8,NA,naturalFrequency,10,stay,2464
10,8,NA,naturalFrequency,80,evacuate,4312
10,8,NA,naturalFrequency,100,evacuate,1298
100,8,NA,naturalFrequency,40,stay,1348
100,8,Ordered,square,90,stay,2793
